Sluisnaam;lng;lat;Beheerder
Urkersluis;5.603199933267277;52.6577999988765;Provincie Flevoland
Prins Bernhardsluis Deventer;6.169299926277895;52.244799999929135;Gemeente Deventer
Amstelsluizen (Sl 101);4.902999935140108;52.36220000282616;Gemeente Amsterdam
Slikkendammersluis;4.856999933895045;52.154700004263354;HHRS van Rijnland
sluis Doesburg;6.131499924699924;52.00730000171126;WS Rijn en IJssel
sluis Nieuw Statenzijl;7.2081999280989715;53.23139998957815;WS Hunze en Aa's
sluis De Pol;6.320799922865682;51.93440000169248;WS Rijn en IJssel
Stevinsluis;5.046799938874425;52.930899998898994;RWS Midden-Nederland
sluis Purmerend;4.943199936041519;52.510600001787594;Provincie Noord-Holland
Johan Frisosluis;5.362999936594446;52.878899998222494;Provincie Friesland
Stokersverlaat, Benedenverlaat Nr. VII;6.3452999312242895;52.96019999448608;Provincie Friesland
Buitensluis;4.408799934829797;51.90530000698875;Gemeente Schiedam
Batjesverlaat of Boven-Wildervancksterverlaat;6.848299928804141;53.054799992104066;WS Hunze en Aa's
Damsluis (Verlaat nr.IX);6.403999930706642;52.94539999438097;Provincie Friesland
Wilhelminasluis Zaandam;4.825399936187268;52.43960000256383;Provincie Noord-Holland
Verlaat Nr. II;6.111899933244845;53.01779999489081;Provincie Friesland
Grote sluis Vianen;5.09749993130462;51.994600004658544;Provincie Zuid-Holland
Riensluis;5.715099934155599;52.84299999732707;Gemeente Lemsterland
Slootsluis;4.966599938606458;52.84499999966306;HHRS Hoogheemraadschap Hollands Noorderkwartier
Oudhuizersluis;4.886899933778644;52.16460000411617;HHRS Amstel, Gooi en Vecht
sluis Amerongen;5.409099929216638;51.976500003942164;RWS Oost-Nederland
sluis Peelo;6.570999930333468;53.02209999329686;Provincie Drenthe
Noordersluis Utrecht;5.1075999316436755;52.05190000425196;RWS Midden-Nederland
sluis Hellevoetsluis;4.1338999358892075;51.82320000816121;Gemeente Hellevoetsluis
Het Zevenhuizer Verlaat;4.557999934619656;52.004800005989985;HHRS van Schieland
Schutsluis Rustenburg;4.876799937395973;52.63440000121888;HHRS Hoogheemraadschap Hollands Noorderkwartier
Groevesluis-Zuid;6.84599993126965;53.303699990415275;RWS NN
3e Verlaat of Buinerverlaat;6.957899927382732;52.98359999220813;WS Hunze en Aa's
Noordersluis IJmuiden;4.608599937638944;52.46760000299988;RWS West-Nederland Noord
Weerdsluis;5.114499931930669;52.097800003930466;Gemeente Utrecht
sluis Weurt;5.822099925668011;51.85350000366505;RWS Oost-Nederland
Zeesluis Oudesluis;4.81019993941914;52.834900000205664;HHRS Hoogheemraadschap Hollands Noorderkwartier
Terhornstersluis (altijd open);5.767699935621607;53.04419999587065;RWS NN
sluis Nr. 1;6.977199928222745;53.08469999143426;WS Hunze en Aa's
Bovenstverlaat Nr. VIII;6.362599931045387;52.95219999448157;Provincie Friesland
Rapenburgersluis (Scharrebiersluis);4.911299935155748;52.37010000275444;Gemeente Amsterdam
Westsluis Terneuzen;3.8171999348374217;51.328200011931415;RWS Zee en Delta
Julianasluis;4.693799933791812;52.0015000056618;Provincie Zuid-Holland
Groevesluis-Noord;6.847499931287448;53.30669999038629;RWS NN
Delflandse Buitensluis;4.34719993517492;51.90330000715302;Gemeente Vlaardingen
Zeesluis Workum;5.434499936982692;52.97239999741662;Provincie Friesland
sluis Hagestein;5.134399931059515;51.99260000456533;RWS Oost-Nederland
2e Verlaat;6.920199927868564;53.007599992169;WS Hunze en Aa's
Kreekraksluis;4.2305999330850135;51.44820001030354;RWS Zee en Delta
Pondskoekersluis;4.820299934549207;52.21540000397236;HHRS Amstel, Gooi en Vecht
Haanwijkerschutsluis;4.954599932847117;52.090100004411056;HHRS De Stichtse Rijnlanden
sluis Driel;5.805199926587643;51.967000002921715;RWS Oost-Nederland
Roompotsluis;3.6847999371861047;51.61860001043089;RWS Zee en Delta
sluis Bosscherveld;5.687399920420461;50.86730001115466;RWS Zuid-Nederland
Vlagtweddersluis;7.139299926523339;53.02399999128119;WS Hunze en Aa's
sluis Panheel;5.861299920964379;51.17450000846373;RWS Zuid-Nederland
Jan B. Bronssluis;6.646099931908454;53.23639999159109;Provincie Groningen
Ter Apelersluis;7.099399925399517;52.876799992459254;WS Hunze en Aa's
sluis Termunterzijldiep;7.036699929968973;53.30159998972829;WS Hunze en Aa's
4e Verlaat of 1e Musselverlaat;6.978599927016621;52.95979999229985;WS Hunze en Aa's
sluis II;4.99189992932874;51.596700007570426;RWS Zuid-Nederland
Westerhavensluis Groningen;6.55749993225362;53.213299992059966;Gemeente Groningen
sluis Vilsteren;6.335799927418894;52.5211999974968;WS Waterschap Drents Overijsselse Delta
Rozenburgsesluis;4.229199935775511;51.891200007518634;HBDR Rotterdam nv
sluis III Tilburg;5.034199928963382;51.58190000756512;RWS Zuid-Nederland
sluis Driemond;5.018899934021329;52.30470000286028;HHRS Amstel, Gooi en Vecht
sluis Vries;6.598799930857333;53.09589999270289;Provincie Drenthe
sluis Almere-Haven;5.221799933007536;52.33340000210686;Gemeente Almere
sluis Grave;5.737899925633779;51.76920000448333;RWS Zuid-Nederland
Zeedoksluis;4.773699940675236;52.9604999995693; NV Port of Den Helder
Sluis IV;5.207099927329391;51.498300007718235;RWS Zuid-Nederland
Rogatsluis;6.2614999293534686;52.68989999658525;Provincie Drenthe
Tsjerk Hiddessluizen;5.419699938930722;53.178999996193774;Provincie Friesland
Benedensas;4.255399933974837;51.625400009113115;WS Brabantse Delta
Haveltersluis;6.241799930127478;52.76379999614476;Provincie Drenthe
sluis Veere;3.667399936846755;51.541500010929745;Provincie Zeeland
Roggebotsluis;5.85529993073668;52.54439999884305;RWS Midden-Nederland
Westfrieschesluis;4.9166999384540935;52.791200000146475;Provincie Noord-Holland
Mijndense sluis;5.022199933252328;52.20240000350752;WS Plassenschap Loosdrecht en omstreken
Grafelijkheidssluis;5.034399935138404;52.463600001816;HHRS Hoogheemraadschap Hollands Noorderkwartier
Krabbersgatsluis;5.282399935490799;52.692099999640256;RWS Midden-Nederland
Biesboschsluis;4.876599931369136;51.80440000647207;RWS West-Nederland Zuid
Nieuwebrugsluis;6.437399928391116;52.713199995851326;Provincie Drenthe
Uffeltersluis;6.279799930065378;52.78399999588268;Provincie Drenthe
Oostsluis Terneuzen;3.820099934854007;51.334400011890956;RWS Zee en Delta
Kampersluis;5.753299931624316;52.57329999896511;Provincie Flevoland
Prinses Marijkesluis;5.357799929392462;51.95420000422446;RWS Midden-Nederland
Verlaat Nr. III;6.133799933197141;53.026899994761614;Provincie Friesland
sluis Schaphalsterzijl;6.463999934001702;53.328999991627995;WS Noorderzijlvest
Prinses Maxima Sluizen;5.4535999277747935;51.80860000496595;RWS Zuid-Nederland
Zeesluis Edam;5.069499935335523;52.516000001386566;HHRS Hoogheemraadschap Hollands Noorderkwartier
Beukerssluis;6.100399930166834;52.66369999727525;Provincie Overijssel
Goereesesluis;4.039499936426982;51.82370000838407;RWS West-Nederland Zuid
Middensluis Terneuzen;3.817299934872183;51.33490001188848;RWS Zee en Delta
sluis Roermond;5.981099920344339;51.21220000789352;RWS Zuid-Nederland
Mallegatsluis (Gouda);4.711699933725198;52.00660000558849;Gemeente Gouda
Schermersluis;4.7537999365975825;52.44020000275572;HHRS Hoogheemraadschap Hollands Noorderkwartier
Uitermeersluis;5.084599933551479;52.293800002753954;HHRS Amstel, Gooi en Vecht
Friesesluis Lemmer;5.7135999341108406;52.837799997365025;Provincie Flevoland
Oostersluis;6.592699932154781;53.22679999184729;RWS NN
Vaartsluis;5.232499933508202;52.40680000160252;Provincie Flevoland
Stontelersluis;5.037899938847492;52.92129999898627;HHRS Hoogheemraadschap Hollands Noorderkwartier
sluis Den Deel;6.606499933157714;53.33699999106227;WS Noorderzijlvest
sluis Middelharnis;4.1898999352586745;51.77350000834203;Gemeente Goeree-Overflakkee
sluis Leidschendam;4.397999936057338;52.08010000592801;Provincie Zuid-Holland
sluis 0;5.315699927856367;51.68850000614299;Gemeente s-Hertogenbosch
Stieltjeskanaalsluis;6.854399925366815;52.68979999463113;Provincie Drenthe
Westerkanaalschutsluis;4.883799935443676;52.38700000272471;Gemeente Amsterdam
6e Verlaat of Ter Apelverlaat;7.0471999261277976;52.91629999236553;WS Hunze en Aa's
